0;Kraków;50.06;19.94;0
1;Białystok;53.13;23.17;500
2;Bielsko-Biała;49.82;19.05;50
3;Chrzanów;50.14;19.4;400
4;Gdańsk;54.35;18.65;200
5;Gdynia;54.52;18.53;100
6;Gliwice;50.3;18.68;40
7;Gromnik;53.74;15.99;200
8;Katowice;50.27;19.04;300
9;Kielce;50.87;20.63;30
10;Krosno;49.69;21.75;60
11;Krynica;49.42;20.96;50
12;Lublin;51.25;22.57;60
13;Łódź;51.76;19.46;160
14;Malbork;54.04;19.03;100
15;Nowy Targ;49.48;20.03;120
16;Olsztyn;53.78;20.49;300
17;Poznań;52.41;16.93;100
18;Puławy;51.42;21.97;200
19;Radom;51.4;21.15;100
20;Rzeszów;50.04;22;60
21;Sandomierz;50.68;21.75;200
22;Szczecin;53.43;14.55;150
23;Szczucin;50.31;21.0;60
24;Szklarska Poręba;50.83;15.52;50
25;Tarnów;50.02;20.98;70
26;Warszawa;52.23;21.01;200
27;Wieliczka;49.99;20.06;90
28;Wrocław;51.1;17.03;40
29;Zakopane;49.3;19.95;200
30;Zamość;50.72;23.25;300
